Date,Price_Close,Price_Open,Price_High,Price_Low,Var
"05/05/2021","1786,44","1778,91","1788,35","1769,95","0,45%"
"04/05/2021","1778,48","1792,29","1799,38","1770,84","-0,77%"
"03/05/2021","1792,36","1768,49","1798,22","1765,91","1,34%"
"30/04/2021","1768,59","1772,90","1773,98","1763,73","-0,15%"
"29/04/2021","1771,24","1780,90","1790,43","1756,19","-0,57%"
"28/04/2021","1781,32","1776,80","1782,85","1762,56","0,26%"
"27/04/2021","1776,69","1780,42","1785,90","1773,52","-0,20%"
"26/04/2021","1780,19","1776,34","1783,69","1768,70","0,17%"
"23/04/2021","1777,18","1784,33","1796,06","1770,05","-0,38%"
"22/04/2021","1783,94","1794,15","1798,29","1776,83","-0,53%"
"21/04/2021","1793,46","1778,64","1797,98","1775,95","0,91%"
"20/04/2021","1777,25","1770,30","1780,77","1763,18","0,45%"
"19/04/2021","1769,31","1779,50","1790,54","1765,98","-0,39%"
"16/04/2021","1776,31","1763,84","1784,07","1759,79","0,74%"
"15/04/2021","1763,21","1737,10","1769,91","1734,10","1,57%"
"14/04/2021","1736,00","1744,30","1749,58","1732,13","-0,45%"
"13/04/2021","1743,83","1732,59","1749,23","1723,27","0,65%"
"12/04/2021","1732,51","1743,80","1745,36","1727,18","-0,61%"
"09/04/2021","1743,10","1756,54","1757,47","1731,09","-0,73%"
"08/04/2021","1755,94","1737,84","1759,13","1732,99","1,07%"
"07/04/2021","1737,28","1742,96","1744,57","1730,13","-0,36%"
"06/04/2021","1743,57","1728,49","1745,68","1726,82","0,88%"
"05/04/2021","1728,44","1728,74","1733,75","1721,22","-0,02%"
"02/04/2021","1728,84","1730,47","1732,55","1728,67","-0,08%"
"01/04/2021","1730,18","1708,09","1730,80","1705,42","1,36%"
"31/03/2021","1707,01","1685,59","1715,28","1677,93","1,32%"
"30/03/2021","1684,80","1712,55","1714,74","1678,85","-1,59%"
"29/03/2021","1711,99","1732,15","1733,34","1705,58","-1,15%"
"26/03/2021","1731,97","1727,30","1737,01","1721,23","0,30%"
"25/03/2021","1726,82","1735,65","1745,95","1721,84","-0,42%"
"24/03/2021","1734,19","1727,80","1738,56","1723,85","0,42%"
"23/03/2021","1726,94","1739,05","1742,85","1724,42","-0,68%"
"22/03/2021","1738,69","1745,74","1747,18","1727,40","-0,35%"
"19/03/2021","1744,74","1735,90","1746,88","1728,04","0,48%"
"18/03/2021","1736,41","1745,09","1755,59","1719,05","-0,46%"
"17/03/2021","1744,44","1730,61","1751,81","1724,14","0,78%"
"16/03/2021","1730,94","1730,57","1741,40","1725,80","-0,05%"
"15/03/2021","1731,84","1727,74","1734,99","1721,31","0,31%"
"12/03/2021","1726,41","1721,59","1728,42","1698,85","0,29%"
"11/03/2021","1721,41","1726,55","1739,99","1719,38","-0,27%"
"10/03/2021","1726,05","1715,94","1726,76","1707,99","0,62%"
"09/03/2021","1715,36","1682,55","1720,83","1679,80","2,03%"
"08/03/2021","1681,24","1702,80","1714,45","1676,70","-1,15%"
"05/03/2021","1700,86","1698,59","1707,76","1687,12","0,22%"
"04/03/2021","1697,19","1711,84","1723,34","1690,64","-0,80%"
