Date,Date,Price_Close,Price_Open,Price_High,Price_Low,Var
2021-02-02,2021-02-02,1837.35,1860.84,1864.26,1829.46,-0.0123
2021-02-03,2021-02-03,1833.76,1837.49,1845.29,1829.49,-0.002
2021-02-04,2021-02-04,1792.26,1834.34,1835.13,1785.15,-0.0226
2021-02-05,2021-02-05,1811.62,1792.49,1815.32,1791.8,0.0108
2021-02-08,2021-02-08,1830.16,1815.44,1839.15,1807.48,0.0102
2021-02-09,2021-02-09,1837.06,1830.59,1849.15,1828.63,0.0038
2021-02-10,2021-02-10,1842.22,1837.55,1855.7,1833.91,0.0028000000000000004
2021-02-11,2021-02-11,1825.36,1842.65,1847.95,1820.63,-0.0091
2021-02-12,2021-02-12,1823.46,1825.9,1830.8,1810.33,-0.001
2021-02-15,2021-02-15,1818.51,1825.34,1827.59,1815.71,-0.0027
2021-02-16,2021-02-16,1794.31,1819.34,1826.75,1789.19,-0.013300000000000001
2021-02-17,2021-02-17,1776.26,1794.65,1795.45,1769.27,-0.0101
2021-02-18,2021-02-18,1775.49,1776.69,1789.88,1767.98,-0.0004
2021-02-19,2021-02-19,1782.31,1776.19,1791.7,1760.13,0.0038
2021-02-22,2021-02-22,1808.66,1782.24,1812.76,1780.46,0.0148
2021-02-23,2021-02-23,1805.06,1809.09,1816.27,1795.78,-0.002
2021-02-24,2021-02-24,1804.36,1805.34,1813.99,1783.3,-0.0004
2021-02-25,2021-02-25,1769.88,1804.8,1806.06,1765.44,-0.0191
2021-02-26,2021-02-26,1733.49,1770.49,1776.1,1717.26,-0.0206
2021-03-01,2021-03-01,1723.84,1733.4,1760.02,1719.52,-0.005600000000000001
2021-03-02,2021-03-02,1738.09,1724.1,1738.89,1707.18,0.0083
2021-03-03,2021-03-03,1710.95,1738.59,1740.85,1701.94,-0.015600000000000001
2021-03-04,2021-03-04,1697.19,1711.84,1723.34,1690.64,-0.008
2021-03-05,2021-03-05,1700.86,1698.59,1707.76,1687.12,0.0022
2021-03-08,2021-03-08,1681.24,1702.8,1714.45,1676.7,-0.0115
2021-03-09,2021-03-09,1715.36,1682.55,1720.83,1679.8,0.0203
2021-03-10,2021-03-10,1726.05,1715.94,1726.76,1707.99,0.0062
2021-03-11,2021-03-11,1721.41,1726.55,1739.99,1719.38,-0.0027
2021-03-12,2021-03-12,1726.41,1721.59,1728.42,1698.85,0.0029
2021-03-15,2021-03-15,1731.84,1727.74,1734.99,1721.31,0.0031
2021-03-16,2021-03-16,1730.94,1730.57,1741.4,1725.8,-0.0005
2021-03-17,2021-03-17,1744.44,1730.61,1751.81,1724.14,0.0078000000000000005
2021-03-18,2021-03-18,1736.41,1745.09,1755.59,1719.05,-0.0046
2021-03-19,2021-03-19,1744.74,1735.9,1746.88,1728.04,0.0048
2021-03-22,2021-03-22,1738.69,1745.74,1747.18,1727.4,-0.0034999999999999996
2021-03-23,2021-03-23,1726.94,1739.05,1742.85,1724.42,-0.0068000000000000005
2021-03-24,2021-03-24,1734.19,1727.8,1738.56,1723.85,0.0042
2021-03-25,2021-03-25,1726.82,1735.65,1745.95,1721.84,-0.0042
2021-03-26,2021-03-26,1731.97,1727.3,1737.01,1721.23,0.003
2021-03-29,2021-03-29,1711.99,1732.15,1733.34,1705.58,-0.0115
2021-03-30,2021-03-30,1684.8,1712.55,1714.74,1678.85,-0.0159
2021-03-31,2021-03-31,1707.01,1685.59,1715.28,1677.93,0.0132
2021-04-01,2021-04-01,1730.18,1708.09,1730.8,1705.42,0.013600000000000001
2021-04-02,2021-04-02,1728.84,1730.47,1732.55,1728.67,-0.0008
2021-04-05,2021-04-05,1728.44,1728.74,1733.75,1721.22,-0.0002
2021-04-06,2021-04-06,1743.57,1728.49,1745.68,1726.82,0.0088
2021-04-07,2021-04-07,1737.28,1742.96,1744.57,1730.13,-0.0036
2021-04-08,2021-04-08,1755.94,1737.84,1759.13,1732.99,0.010700000000000001
2021-04-09,2021-04-09,1743.1,1756.54,1757.47,1731.09,-0.0073
2021-04-12,2021-04-12,1732.51,1743.8,1745.36,1727.18,-0.0060999999999999995
2021-04-13,2021-04-13,1743.83,1732.59,1749.23,1723.27,0.006500000000000001
2021-04-14,2021-04-14,1736.0,1744.3,1749.58,1732.13,-0.0045000000000000005
2021-04-15,2021-04-15,1763.21,1737.1,1769.91,1734.1,0.015700000000000002
2021-04-16,2021-04-16,1776.31,1763.84,1784.07,1759.79,0.0074
2021-04-19,2021-04-19,1769.31,1779.5,1790.54,1765.98,-0.0039000000000000003
2021-04-20,2021-04-20,1777.25,1770.3,1780.77,1763.18,0.0045000000000000005
2021-04-21,2021-04-21,1793.46,1778.64,1797.98,1775.95,0.0091
2021-04-22,2021-04-22,1783.94,1794.15,1798.29,1776.83,-0.0053
2021-04-23,2021-04-23,1777.18,1784.33,1796.06,1770.05,-0.0038
2021-04-26,2021-04-26,1780.19,1776.34,1783.69,1768.7,0.0017000000000000001
2021-04-27,2021-04-27,1776.69,1780.42,1785.9,1773.52,-0.002
2021-04-28,2021-04-28,1781.32,1776.8,1782.85,1762.56,0.0026
2021-04-29,2021-04-29,1771.24,1780.9,1790.43,1756.19,-0.005699999999999999
2021-04-30,2021-04-30,1768.59,1772.9,1773.98,1763.73,-0.0015
2021-05-03,2021-05-03,1792.36,1768.49,1798.22,1765.91,0.0134
2021-05-04,2021-05-04,1778.48,1792.29,1799.38,1770.84,-0.0077
2021-05-05,2021-05-05,1786.44,1778.91,1788.35,1769.95,0.0045000000000000005
2021-05-06,2021-05-06,1815.18,1787.09,1818.21,1781.67,0.0161
2021-05-07,2021-05-07,1830.48,1815.48,1843.45,1812.9,0.0084
2021-05-10,2021-05-10,1835.44,1833.24,1845.53,1830.09,0.0027
2021-05-11,2021-05-11,1836.94,1834.58,1842.32,1817.68,0.0008
2021-05-12,2021-05-12,1815.44,1837.4,1843.69,1813.0,-0.011699999999999999
2021-05-13,2021-05-13,1826.57,1815.9,1828.81,1808.78,0.0060999999999999995
2021-05-14,2021-05-14,1842.19,1826.49,1845.55,1819.79,0.0086
