Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-09-10,44858.851039253714,47092.8858362293,44146.34786431026,46393.44023938422,873064114947.6367,41.37330427923943,0.6661104629961211,18818697.43745533
2021-09-09,46406.77808193513,47420.637525834296,45529.41132398411,46297.169421285056,871213068381.4476,41.47987943545133,0.6684897731535431,18817847.38185114
2021-09-08,46072.84462407352,47455.12838501544,44426.598054624745,46805.80777554879,880744467967.6189,42.14988827137086,0.6853913656892666,18816991.09202677
2021-09-07,46888.73509387665,52961.34948847528,42362.32544325272,52663.58558039088,990923480509.3326,41.83024783542357,0.580372290578037,18816103.56736325
2021-09-06,52699.017881348496,52807.81536252581,51011.460997655675,51780.91187117846,974265482199.1935,41.54357199453021,0.5801370535048939,18815147.26165869
2021-09-05,51795.68875881028,51928.21234787802,49482.34311241834,49941.30922895529,939599398338.4998,41.4160004773397,0.5867816338492222,18814072.21486562
2021-09-04,49943.86590989726,50572.981959969715,49392.790680321465,50064.94866074365,941874238929.9232,41.43559150366984,0.5909448809748092,18813047.13428089
2021-09-03,49998.478892060055,51047.42118221134,48349.14007879862,49718.560692540465,935309457617.1373,41.96175744777426,0.6029447093591113,18812078.31821782
2021-09-02,49274.878632583706,50429.43527560281,48622.92559976824,48841.19610567588,918759224383.6782,41.65776648312604,0.6140929444915083,18811153.24030544
2021-09-01,48844.679788416994,49151.09118964638,46532.0119513136,47006.33516854569,884199596232.1239,42.307270855104306,0.6092377650184687,18810221.92140149
2021-08-31,47132.960237921856,48285.526017520955,46709.51164962766,47029.18184509581,884589072158.1819,43.0999465915365,0.629374554098739,18809365.53546331
2021-08-30,47002.93606319256,48920.83856296806,46874.16899797309,48835.14322584142,918514106329.546,43.777226065130975,0.6235230725881011,18808465.49546943
2021-08-29,48804.89206631799,49665.980269784995,47795.13373669825,48901.589127785184,919722588787.9966,43.704338072361345,0.641310662616448,18807621.69885034
2021-08-28,48931.190615437015,49323.10056427565,48371.28260313884,49071.13366698264,922863473132.6665,43.605342080095134,0.6390597239037182,18806646.68144018
2021-08-27,49094.133344419366,49185.761078914635,46358.63192281064,46899.495444932545,881980905717.6575,44.07299131272803,0.6238289943487509,18805765.33607367
2021-08-26,46856.62735920133,49408.24250921965,46295.173082377725,48971.08935285695,920894315738.2853,43.88092776058821,0.6466394309648169,18804852.80479948
2021-08-25,48996.135100263746,49278.739294075494,47135.434886802796,47727.11408103037,897881323008.5034,43.81283239379984,0.6392676158391388,18803940.26822146
2021-08-24,47661.18803327176,49894.2070188698,47607.88007732681,49517.37559653661,931070898902.9567,43.39883229846255,0.6237154171048254,18802940.17918685
2021-08-23,49513.10577212436,50535.562307998836,49036.43664196567,49311.59994696529,926702194175.8004,44.043849250298976,0.6182197268746796,18801977.5483447
2021-08-22,49285.906871382074,49531.598641330595,48081.901739265384,48886.85918236112,919111068985.3741,41.82081700263661,0.6273348518358101,18800746.18528536
2021-08-21,48874.2292170511,49802.63666102425,48247.5378872689,49326.874461014435,927337280893.7097,44.042836106480486,0.6203089355037571,18799721.13079763
2021-08-20,49339.77499641724,49393.905216550826,46636.0702324828,46745.815632839294,878824761477.2834,43.52971510892058,0.648394878401522,18798658.54120484
2021-08-19,46779.78198864239,47208.76771923585,43932.35722428182,44801.34210677887,842147120944.8312,43.90478564759439,0.6563117825571404,18797658.41446789
